Tiempo;Letra
00:03;Que siendo un extraño, te dije te amo
00:07;Te he estado buscando por más de mil años
00:10;Y tú respondiste, ¿a dónde vamos?
00:14;#ESPACIO
00:17;Contra las apuestas aquí nos quedamos
00:20;Viviendo de fiesta después del verano
00:23;En el que respondiste, ¿a dónde vamos?
00:27;#ESPACIO
00:30;Y aunque la historia no estaba prevista
00:34;Somos la prueba de que existe amor a primera vista
00:37;No dejo de mirarte ni un segundo
00:38;Cuando tú estás desaparece el mundo
00:40;Mejores noches yo no creo que existan
00:43;Y aunque me pida otra cerveza
00:46;Solo me interesa beber de ti
00:48;De ti, de ti, emborracharme así de ti
00:50;Porque no hay trago que sepa tan bien
01:00;Como tus labios en Madrid
01:54;Y no sé, no sé, no sé
01:58;Cómo pude convencerte
02:02;Y no sé, no sé, no sé
02:06;Fue el destino o fue la suerte
02:10;Que siendo un extraño, te dije te amo
02:14;Te he estado buscando por más de mil años
02:18;Y tú respondiste, ¿a dónde vamos?
02:22;Contra las apuestas aquí nos quedamos
02:26;Viviendo de fiesta después del verano
02:30;En el que respondiste, ¿a dónde vamos?
02:34;Y aunque la historia no estaba prevista
02:38;Somos la prueba de que existe amor a primera vista
02:42;Hey
02:44;Hey
02:46;Hey
02:48;Hoy somos la prueba de que dos extraños
02:52;Con algo de suerte, por más de mil años
02:56;Se siguen diciendo, ¿a dónde vamos?
03:00;Contra las apuestas aquí nos quedamos
03:04;Viviendo de fiesta después del verano
03:08;En el que respondiste, ¿a dónde vamos?
03:12;Y aunque la historia no estaba prevista
03:16;Y aunque la gente a veces se resista
03:20;Somos la prueba de que existe amor a primera vista
